Log_Id,Email,Activity,Action_At
229,,Admin admin@admin.com created accessory: Cable MDL PL/SO 1 m (ID: 53),2026-02-06 16:39:20
230,,Admin admin@admin.com updated accessory ID: 30,2026-02-06 16:46:03
231,,Admin admin@admin.com updated accessory ID: 28,2026-02-06 17:09:56
232,modmastei2@gmail.com,Admin modmastei2@gmail.com updated item ID: 1,2026-02-08 9:42:20
233,admin@admin.com,Admin admin@admin.com updated item ID: 2,2026-02-08 9:49:38
234,modmastei2@gmail.com,Admin modmastei2@gmail.com updated accessory ID: 25,2026-02-08 9:53:11
235,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 9:55:33
236,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 9:55:46
237,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 9:56:16
238,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 9:58:15
239,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 9:58:24
240,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 9:58:34
241,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 9:58:42
242,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 10:01:03
243,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-08 10:01:41
244,admin@admin.com,Admin admin@admin.com updated accessory ID: 1,2026-02-09 2:26:53
245,admin@admin.com,Admin admin@admin.com updated accessory ID: 1,2026-02-09 2:27:08
246,admin@admin.com,Admin admin@admin.com updated accessory ID: 1,2026-02-09 2:27:43
247,admin@admin.com,Admin admin@admin.com updated accessory ID: 43,2026-02-09 3:58:05
248,admin@admin.com,Admin admin@admin.com updated accessory ID: 43,2026-02-09 3:58:27
249,admin@admin.com,Admin admin@admin.com updated accessory ID: 3,2026-02-09 4:00:36
250,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-09 4:00:56
251,admin@admin.com,Admin admin@admin.com updated item ID: 1,2026-02-09 4:01:05
252,admin@admin.com,Admin admin@admin.com updated item ID: 155,2026-02-09 13:44:51
253,admin@admin.com,Admin admin@admin.com updated item ID: 156,2026-02-09 13:49:41
254,admin@admin.com,Admin admin@admin.com updated item ID: 158,2026-02-09 13:51:03
255,admin@admin.com,Admin admin@admin.com deleted item ID: 157,2026-02-09 13:51:46
256,admin@admin.com,Admin admin@admin.com updated item ID: 159,2026-02-09 13:53:09
257,admin@admin.com,Admin admin@admin.com updated item ID: 160,2026-02-09 13:54:34
258,admin@admin.com,Admin admin@admin.com updated item ID: 161,2026-02-09 13:55:55
259,admin@admin.com,Admin admin@admin.com deleted item ID: 162,2026-02-09 13:56:08
260,admin@admin.com,Admin admin@admin.com updated item ID: 163,2026-02-09 13:57:28
261,admin@admin.com,Admin admin@admin.com updated item ID: 164,2026-02-09 13:59:29
262,admin@admin.com,Admin admin@admin.com updated item ID: 165,2026-02-09 14:34:50
263,admin@admin.com,Admin admin@admin.com updated item ID: 166,2026-02-09 14:38:19
264,admin@admin.com,Admin admin@admin.com updated item ID: 167,2026-02-09 14:46:12
265,admin@admin.com,Admin admin@admin.com updated item ID: 168,2026-02-09 14:52:34
266,admin@admin.com,Admin admin@admin.com updated item ID: 169,2026-02-09 14:54:49
267,admin@admin.com,Admin admin@admin.com updated item ID: 170,2026-02-09 15:42:26
268,admin@admin.com,Admin admin@admin.com deleted item ID: 170,2026-02-09 15:43:26
269,admin@admin.com,Admin admin@admin.com deleted item ID: 172,2026-02-09 15:43:44
270,admin@admin.com,Admin admin@admin.com updated item ID: 171,2026-02-09 15:45:43
271,admin@admin.com,Admin admin@admin.com updated item ID: 174,2026-02-10 15:39:00
272,admin@admin.com,Admin admin@admin.com created item: 804 Ti stand (ID: 175),2026-02-10 16:24:25
273,admin@admin.com,Admin admin@admin.com updated item ID: 175,2026-02-10 16:29:03
274,admin@admin.com,Admin admin@admin.com updated item ID: 175,2026-02-10 16:29:32
275,admin@admin.com,Admin admin@admin.com deleted item ID: 32,2026-02-10 16:30:21
276,admin@admin.com,Admin admin@admin.com updated accessory ID: 3,2026-02-10 16:34:11
277,admin@admin.com,Admin admin@admin.com updated accessory ID: 4,2026-02-10 16:34:30
278,admin@admin.com,Admin admin@admin.com updated accessory ID: 5,2026-02-10 16:34:48
279,admin@admin.com,Admin admin@admin.com updated accessory ID: 6,2026-02-10 16:35:05
280,admin@admin.com,Admin admin@admin.com updated accessory ID: 15,2026-02-10 16:35:49
281,admin@admin.com,Admin admin@admin.com created accessory: Numerical USB keypad (ID: 54),2026-02-10 16:41:43
282,admin@admin.com,Admin admin@admin.com updated accessory ID: 23,2026-02-10 16:51:33
283,admin@admin.com,Admin admin@admin.com created item: Solvotrode (ID: 176),2026-02-10 17:07:09
284,admin@admin.com,Admin admin@admin.com updated item ID: 166,2026-02-10 17:10:28
285,admin@admin.com,Admin admin@admin.com created item: อื่นๆ (ID: 177),2026-02-11 9:29:06
286,admin@admin.com,Admin admin@admin.com updated accessory ID: 29,2026-02-11 9:46:01
287,admin@admin.com,Admin admin@admin.com updated accessory ID: 30,2026-02-11 9:46:37
288,admin@admin.com,Admin admin@admin.com updated accessory ID: 31,2026-02-11 9:47:02
289,admin@admin.com,Admin admin@admin.com deleted accessory ID: 47,2026-02-11 10:12:15
290,admin@admin.com,Admin admin@admin.com created accessory: Manual Dosing Controller (ID: 55),2026-02-11 10:21:55
291,admin@admin.com,Admin admin@admin.com updated item ID: 161,2026-02-11 10:26:54
292,admin@admin.com,Admin admin@admin.com created accessory: 784 KFP Titrino keyboard (ID: 56),2026-02-11 10:41:56
293,admin@admin.com,Admin admin@admin.com created accessory: Dosimat keyboard (ID: 57),2026-02-11 10:43:04
294,admin@admin.com,"Admin admin@admin.com created accessory: Electrode cable for plug in head U/plug F, 2x2 mm B, 1m  (ID: 58)",2026-02-11 10:47:51
295,admin@admin.com,Admin admin@admin.com updated accessory ID: 58,2026-02-11 10:50:26
296,admin@admin.com,Admin admin@admin.com created accessory: 6.2104.540 (ID: 59),2026-02-11 10:54:15
297,admin@admin.com,Admin admin@admin.com updated accessory ID: 53,2026-02-11 10:57:41
298,admin@admin.com,Admin admin@admin.com updated accessory ID: 53,2026-02-11 10:59:24
299,admin@admin.com,Admin admin@admin.com updated accessory ID: 52,2026-02-11 10:59:56
300,admin@admin.com,"Admin admin@admin.com created accessory: Electrode cable 1 m, BNC  (ID: 60)",2026-02-11 11:02:41
301,admin@admin.com,Admin admin@admin.com updated item ID: 152,2026-02-11 11:48:31
302,admin@admin.com,Admin admin@admin.com created accessory: RS 232/USB BOX (ID: 61),2026-02-11 13:26:31
303,admin@admin.com,Admin admin@admin.com created accessory: Adapter sub D 25-pin/5 sockets  (ID: 62),2026-02-11 13:34:00
304,admin@admin.com,Admin admin@admin.com created accessory: USB/RS-232 Converter for 900 Touch Control (ID: 63),2026-02-11 13:39:32
305,admin@admin.com,Admin admin@admin.com created accessory: Cable RS-232 DB9 socket f – DB9 plug (ID: 64),2026-02-11 13:46:20
306,admin@admin.com,Admin admin@admin.com updated accessory ID: 63,2026-02-11 13:48:47
307,admin@admin.com,Admin admin@admin.com created accessory: Connecting cable RS-232 to Sartorius MP8 (ID: 65),2026-02-11 13:59:22
308,admin@admin.com,"Admin admin@admin.com created accessory: RS-232 cable 3 m, 25-pin – 9-pin (ID: 66)",2026-02-11 14:02:04
309,admin@admin.com,Admin admin@admin.com deleted item ID: 168,2026-02-12 11:02:14
310,admin@admin.com,Admin admin@admin.com created accessory: cable ATEN (ID: 67),2026-02-12 11:20:57
311,admin@admin.com,Admin admin@admin.com created accessory: Power Adapter (ID: 68),2026-02-12 11:25:30
312,admin@admin.com,Admin admin@admin.com deleted accessory ID: 8,2026-02-12 11:38:48
313,admin@admin.com,Admin admin@admin.com deleted accessory ID: 9,2026-02-12 11:39:07
314,admin@admin.com,Admin admin@admin.com created accessory: OMNIS adapter cable (สายสั้นเขียว) (ID: 69),2026-02-12 11:41:19
315,admin@admin.com,Admin admin@admin.com created accessory: cable control (ID: 70),2026-02-12 13:16:48
316,admin@admin.com,Admin admin@admin.com created accessory: pH 781/Ion meter cable (ID: 71),2026-02-12 13:29:12
317,admin@admin.com,Admin admin@admin.com created accessory: connect cable (ID: 72),2026-02-12 13:32:31
318,admin@admin.com,Admin admin@admin.com created accessory: Connection cable 843 Pump Station to 797 VA Computrace (ID: 73),2026-02-12 13:43:29
319,admin@admin.com,Admin admin@admin.com created accessory: Cable RS-232 DB9 socket f – DB9 plug (ID: 74),2026-02-12 13:45:01
320,admin@admin.com,Admin admin@admin.com created accessory: RS-232 DB9 - IBM-PC(DB9) connecting cable (ID: 75),2026-02-12 13:48:47
321,admin@admin.com,Admin admin@admin.com created accessory: Connecting cable RS-232 to Sartorius MP8 6.2134.060 (ID: 76),2026-02-12 13:50:07
322,admin@admin.com,Admin admin@admin.com created accessory: USB/RS-232 Converter for 900 Touch Control (ID: 77),2026-02-12 13:52:08
323,admin@admin.com,Admin admin@admin.com created accessory: Adapter sub D 25-pin/5 sockets (ID: 78),2026-02-12 13:57:13
324,admin@admin.com,Admin admin@admin.com created accessory: RS-232/USB box (ID: 79),2026-02-12 14:03:54
325,admin@admin.com,Admin admin@admin.com updated accessory ID: 79,2026-02-12 15:28:30
326,admin@admin.com,Admin admin@admin.com created accessory: OMNIS Notebook (ID: 80),2026-02-12 16:25:58
327,admin@admin.com,Admin admin@admin.com deleted accessory ID: 17,2026-02-12 16:29:23
328,admin@admin.com,Admin admin@admin.com created item: SET PC OMNIS (ID: 178),2026-02-12 16:31:22
329,admin@admin.com,Admin admin@admin.com deleted accessory ID: 80,2026-02-12 16:36:17
330,admin@admin.com,Admin admin@admin.com created item: OMNIS Notebook	 (ID: 179),2026-02-12 16:36:48
331,admin@admin.com,Admin admin@admin.com updated accessory ID: 46,2026-02-12 16:49:03
332,admin@admin.com,Admin admin@admin.com created accessory: Adapter (ID: 80),2026-02-12 17:01:54
333,admin@admin.com,Admin admin@admin.com updated accessory ID: 4,2026-02-13 9:28:37
334,admin@admin.com,Admin admin@admin.com updated accessory ID: 5,2026-02-13 9:29:08
335,admin@admin.com,Admin admin@admin.com updated accessory ID: 6,2026-02-13 9:30:01
336,admin@admin.com,Admin admin@admin.com updated accessory ID: 7,2026-02-13 9:30:32
337,modmastei2@gmail.com,Admin modmastei2@gmail.com updated item ID: 51,2026-02-15 3:30:46
